materials,static_friction_coeff,kinetic_friction_coeff
Steel on steel,0.74,0.57
Aluminum on steel,0.61,0.47
Copper on steel,0.53,0.36
Brass on steel,0.51,0.44
Zinc on cast iron,0.85,0.21
Copper on cast iron,1.05,0.29
Glass on glass,0.94,0.4
Copper on glass,0.68,0.53
Teflon on Teflon,0.04,0.04
Teflon on steel,0.04,0.04
Rubber on concrete (dry),1,0.8
Rubber on concrete (wet),0.3,0.25
